M0001;2451602966
M0002;3455981570
M0003;2368789619
M0004;3414380444
M0005;3311790697
M0006;3452536367
M0007;2428280044
M0008;2364791483
M0009;2477486064
M0021;2459404675
M0022;3435566268
M0023;3448144180
M0024;3362730452
M0025;2495790139
M0026;3463919742
M0027;2333856207
M0028;3488209662
M0029;2417044238
M0030;3493741355
M0031;2344085483
M0032;3494941733
M0033;3425605815
M0034;2318173294
M0035;2375253111
M0036;2425208993
M0037;2372247362
M0038;2414328548
M0039;2477195704
M0040;3318389168
M0041;2447454069
M0042;3434682374
M0043;2353021784
M0044;3498096919
M0045;2425504777
M0046;3315044288
M0047;3475072977
M0048;3429137343
M0049;3475920238
M0050;3384419800
M0051;3328276813
M0052;3422165551
M0053;2491324371
M0054;2392396447
M0055;3494474861
M0056;2472203109
M0057;3328978251
M0058;3464252220
M0059;2386968523
M0060;2453140600
M0061;2449222651
M0062;3413654912
M0063;3319459217
M0064;2415032737
M0065;3317479797
M0066;2343899022
M0067;3317083222
M0068;2321620046
M0069;3382004575
M0080;2329319935
M0081;3316006803
M0082;2365497532
M0083;2447528271
M0084;3364227935
M0085;2483329354
M0086;3344108955
M0087;2329476217
M0088;3486444676
M0089;2412181316
M0090;3336523374
M0091;2394054359
M0092;3327135942
M0093;3334555604
M0094;3477233530
M0095;2462802790
M0096;2411283802
M0097;2392488194
M0098;2316369173
M0099;3412567880
M0100;2359071795
M0101;2443516844
M0102;3393722809
M0103;2476293342
M0104;3363708389
M0105;3422766512
M0106;3498709881
M0107;2437976366
M0108;3313160196
M0109;2454193799
M0110;2455242863
M0111;3428021988
M0112;2448104908
M0113;3486449558
M0114;3337129613
M0115;2441269015
M0116;2346868150
M0117;2432196741
M0118;3476416399
M0119;3312707552
M0120;3352723205
M0121;3414106341
M0122;2355246194
M0123;3473571330
M0124;3422395127
M0125;2425667074
M0126;2381436505
M0127;2373612943
M0128;3444360256
M0129;3388031282
M0130;3346385718
M0131;3447216789
M0132;2477861021
M0133;2368776594
M0134;2423728085
M0135;2367224922
M0136;3316412507
M0137;3475750718
M0138;3311248472
M0139;3358417723
M0140;2388443376
M0141;2384109220
M0142;3327543225
M0143;2426637614
M0144;3365764222
M0145;3388978960
M0146;3369123098
M0147;2434121939
M0148;2487782880
M0149;3498771710
M0200;3433349601
M0201;2444160458
M0202;2413992359
M0203;2494644927
M0204;3315297963
M0205;3424411784
M0206;2325482274
M0207;3394857734
M0208;2432019414
M0209;2425658623
M0210;2316368603
M0211;2489614959
M0212;3448968647
M0213;2342323113
M0214;2455623173
M0215;2497898042
M0216;3353621312
M0217;3361620373
M0218;2468077578
M0219;3342281105
M0220;2443213326
M0221;3475349312
M0222;2427034658
M0223;3389023989
M0224;3349672810
M0225;2469231443
M0226;3364804125
M0227;3396994070
M0228;3455698940
M0229;3395396921
M0230;2444911279
M0231;3338393082
M0232;2394666940
M0233;3494785992
M0234;3484430237
M0235;2415745786
M0236;2372564690
M0237;2381902489
M0238;3499414112
M0239;3318898155
M0240;2319724183
M0241;2445081706
M0242;3376408502
M0243;2482355176
M0244;3464620575
M0245;3363072678
M0246;3465025282
M0247;3419548919
M0248;3312198979
M0249;2465377466
M0250;2427282895
M0251;2458116794
M0252;3329306638
M0253;2344016094
M0254;2317691597
M0255;2475397886
M0256;2361596773
M0257;2396105459
M0258;3443754419
M0259;2439221149
M0260;3461958283
M0261;3385893835
M0262;2444828819
M0263;3456399374
M0264;3489030133
