M0185;AGOSTINI;AGATA
M0385;AGOSTINI;ALFRIDE
M0585;AGOSTINI;AMOROSO
M0785;AGOSTINI;AQUILANTE
M0985;AGOSTINI;ASSUERO
M1185;AGOSTINI;BELLISARIO
M1385;AGOSTINI;BUONAVENTURA
M1585;AGOSTINI;CESINO
M1785;AGOSTINI;CONSOLINA
M1985;AGOSTINI;DAVINO
M2185;AGOSTINI;DONALDO
M2385;AGOSTINI;ELETTA
M2585;AGOSTINI;ERACLIA
M2785;AGOSTINI;EUFEMIA
M2985;AGOSTINI;FATIMA
M3185;AGOSTINI;FERRANDO
M3385;AGOSTINI;FIORANGIOLA
M3585;AGOSTINI;FLORIGIO
M3785;AGOSTINI;GADDO
M3985;AGOSTINI;GERVASO
M4185;AGOSTINI;GIORGIANA
M4385;AGOSTINI;GUALFARDO
M4585;AGOSTINI;IMPERO
M4785;AGOSTINI;JURI
M4985;AGOSTINI;LEVA
M5185;AGOSTINI;LUCE
M5385;AGOSTINI;MARIACRISTINA
M5585;AGOSTINI;MELINA
M5785;AGOSTINI;MODESTA
M5985;AGOSTINI;NEVIA
M6185;AGOSTINI;OCLIDE
M6385;AGOSTINI;OLIVA
M6585;AGOSTINI;ORESTO
M6785;AGOSTINI;ORVELIA
M6985;AGOSTINI;PANFILA
M7185;AGOSTINI;POLITO
M7385;AGOSTINI;RAIMONDO MARIA
M7585;AGOSTINI;RIBELLE
M7785;AGOSTINI;ROMANITA
M7985;AGOSTINI;SALUTINA
M8185;AGOSTINI;SILO
M8385;AGOSTINI;TARSILLA
M8585;AGOSTINI;TUSOLINA
M8785;AGOSTINI;VENERIA
M8985;AGOSTINI;WANIA
M0153;AIELLO;ADORNINO
M0353;AIELLO;ALFA
M0553;AIELLO;AMELITA
M0753;AIELLO;ANTONICA
M0953;AIELLO;ARTIMINO
M1153;AIELLO;BASILICO
M1353;AIELLO;BRENNO
M1553;AIELLO;CELLINA
M1753;AIELLO;CONCESSINA
M1953;AIELLO;DANILA
M2153;AIELLO;DOLCINA
M2353;AIELLO;EGIZIO
M2553;AIELLO;ENERINO
M2753;AIELLO;ESUPERANZIO
M2953;AIELLO;FANILLA
M3153;AIELLO;FERIGO
M3353;AIELLO;FINIMONDA
M3553;AIELLO;FLORENZIANA
M3753;AIELLO;FULGENZIO
M3953;AIELLO;GERINO
M4153;AIELLO;GIOBATTA
M4353;AIELLO;GRAZIA
M4553;AIELLO;ILLO
M4753;AIELLO;IVONNE
M4953;AIELLO;LEONZIO
M5153;AIELLO;LORENZANA
M5353;AIELLO;MARCHISIO
M5553;AIELLO;MAURO
M5753;AIELLO;MIRKO
M5953;AIELLO;NEMO
M6153;AIELLO;NUNZIATINA
M6353;AIELLO;OLGO
M6553;AIELLO;OREANA
M6753;AIELLO;ORTE
M6953;AIELLO;PACINA
M7153;AIELLO;PINUCCIA
M7353;AIELLO;RADIANO
M7553;AIELLO;RENZO
